render backend: http://127.0.0.1:8080/render
admin data:     http://127.0.0.1:9090/admin/stats
[INFO] thread pool initialized with 16 workers
[23:30:33] 127.0.0.1:40880       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:33] 127.0.0.1:40888       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 23.8ms
[23:30:33] 127.0.0.1:40904       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:33] 127.0.0.1:40910       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.3ms
[23:30:33] 127.0.0.1:40912       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:33] 127.0.0.1:40922       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.2ms
[23:30:33] 127.0.0.1:40932       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 23.9ms
[23:30:33] 127.0.0.1:40938       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.0ms
[23:30:33] 127.0.0.1:40942       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.0ms
[23:30:33] 127.0.0.1:40956       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.3ms
[23:30:33] 127.0.0.1:40970       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:33] 127.0.0.1:40976       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.2ms
[23:30:33] 127.0.0.1:40978       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.9ms
[23:30:33] 127.0.0.1:40986       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.1ms
[23:30:33] 127.0.0.1:40990       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:33] 127.0.0.1:41002       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:33] 127.0.0.1:41016       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.9ms
[23:30:33] 127.0.0.1:41026       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:33] 127.0.0.1:41032       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 23.9ms
[23:30:33] 127.0.0.1:41044       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.1ms
[23:30:33] 127.0.0.1:41058       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 23.9ms
[23:30:33] 127.0.0.1:41066       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:34] 127.0.0.1:41072       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:34] 127.0.0.1:41086       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.2ms
[23:30:34] 127.0.0.1:41092       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.1ms
[23:30:34] 127.0.0.1:41104       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 23.9ms
[23:30:34] 127.0.0.1:41120       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:34] 127.0.0.1:41128       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.6ms
[23:30:34] 127.0.0.1:41142       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:34] 127.0.0.1:41158       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.1ms
[23:30:34] 127.0.0.1:41168       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:34] 127.0.0.1:41176       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:34] 127.0.0.1:41188       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.0ms
[23:30:34] 127.0.0.1:41192       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.1ms
[23:30:34] 127.0.0.1:41204       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:34] 127.0.0.1:41208       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.1ms
[23:30:34] 127.0.0.1:41218       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.9ms
[23:30:34] 127.0.0.1:41220       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:34] 127.0.0.1:41224       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.1ms
[23:30:34] 127.0.0.1:41238       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.1ms
[23:30:34] 127.0.0.1:41246       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:34] 127.0.0.1:41258       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.6ms
[23:30:34] 127.0.0.1:41264       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:34] 127.0.0.1:41276       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:34] 127.0.0.1:41292       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:34] 127.0.0.1:41304       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.2ms
[23:30:34] 127.0.0.1:41314       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:34] 127.0.0.1:41318       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:34] 127.0.0.1:41326       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.2ms
[23:30:34] 127.0.0.1:41338       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.6ms
[23:30:34] 127.0.0.1:41346       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:34] 127.0.0.1:41348       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.3ms
[23:30:34] 127.0.0.1:41364       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.6ms
[23:30:34] 127.0.0.1:41366       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:34] 127.0.0.1:41374       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:34] 127.0.0.1:41380       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.8ms
[23:30:35] 127.0.0.1:41390       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.0ms
[23:30:35] 127.0.0.1:41392       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.6ms
[23:30:35] 127.0.0.1:41402       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.1ms
[23:30:35] 127.0.0.1:41418       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:35] 127.0.0.1:41428       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 23.9ms
[23:30:35] 127.0.0.1:41430       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.6ms
[23:30:35] 127.0.0.1:41442       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:35] 127.0.0.1:41444       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.8ms
[23:30:38] 127.0.0.1:41450       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.1ms
[23:30:38] 127.0.0.1:41460       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:38] 127.0.0.1:41468       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:38] 127.0.0.1:41470       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.8ms
[23:30:38] 127.0.0.1:41480       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:38] 127.0.0.1:41494       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.8ms
[23:30:38] 127.0.0.1:41506       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.6ms
[23:30:38] 127.0.0.1:41512       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.1ms
[23:30:38] 127.0.0.1:41518       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.2ms
[23:30:38] 127.0.0.1:41524       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.6ms
