concurrency,total,ok,fail,throughput_rps,avg_ms,min_ms,max_ms,stddev_ms,p50_ms,p90_ms,p95_ms,p99_ms,p999_ms
1,120,120,0,1.27,783.91,636.98,1907.71,169.43,744.18,915.70,1010.00,1797.11,1907.71
2,120,120,0,2.52,783.41,635.53,1016.95,93.80,761.75,926.44,952.72,986.88,1016.95
4,120,120,0,5.21,755.17,622.54,1008.82,81.91,731.29,867.37,909.14,1006.70,1008.82
8,120,120,0,7.37,1053.26,627.73,2349.96,369.96,927.58,1558.65,1787.13,2138.63,2349.96
16,120,120,0,17.71,842.37,650.03,1625.55,188.04,795.74,1033.94,1224.23,1623.75,1625.55
32,120,120,0,23.40,1180.42,802.41,1889.46,188.19,1155.59,1387.09,1539.95,1810.69,1889.46
64,120,120,0,18.97,2229.81,1085.74,5142.75,573.33,2180.39,2824.92,3137.52,4627.24,5142.75
